"gene_id","rank"
"ENSG00000138411.13",461
"ENSG00000065413.20",462
"ENSG00000162944.11",463
"ENSG00000115896.16",464
"ENSG00000119042.18",465
"ENSG00000163535.18",466
"ENSG00000155754.15",467
"ENSG00000138439.12",468
"ENSG00000163596.17",469
"ENSG00000173166.18",470
"ENSG00000178562.18",471
"ENSG00000118257.17",472
"ENSG00000114948.13",473
"ENSG00000229321.2",474
"ENSG00000118263.16",475
"ENSG00000234902.6",476
"ENSG00000223725.6",477
"ENSG00000144407.10",478
"ENSG00000078018.22",479
"ENSG00000021826.18",480
"ENSG00000178568.15",481
"ENSG00000273118.1",482
"ENSG00000030419.17",483
"ENSG00000144451.20",484
"ENSG00000197585.10",485
"ENSG00000138376.11",486
"ENSG00000229267.3",487
"ENSG00000235770.6",488
"ENSG00000115457.10",489
"ENSG00000115461.5",490
"ENSG00000231672.8",491
"ENSG00000291236.1",492
"ENSG00000288819.2",493
"ENSG00000116106.12",494
"ENSG00000163082.10",495
"ENSG00000123983.15",496
"ENSG00000152049.7",497
"ENSG00000135905.21",498
"ENSG00000144460.13",499
"ENSG00000081052.14",500
"ENSG00000169031.21",501
"ENSG00000115009.13",502
"ENSG00000232023.3",503
"ENSG00000153823.19",504
"ENSG00000079263.19",505
"ENSG00000233611.4",506
"ENSG00000132321.17",507
"ENSG00000163359.17",508
"ENSG00000233392.5",509
"ENSG00000224957.7",510
"ENSG00000144619.15",511
"ENSG00000223727.6",512
"ENSG00000150995.21",513
"ENSG00000235978.8",514
"ENSG00000189229.12",515
"ENSG00000196277.16",516
"ENSG00000270207.2",517
"ENSG00000227110.7",518
"ENSG00000071282.12",519
"ENSG00000182533.7",520
"ENSG00000196220.17",521
"ENSG00000132164.10",522
"ENSG00000196639.7",523
"ENSG00000132170.24",524
"ENSG00000180438.15",525
"ENSG00000131389.18",526
"ENSG00000154783.12",527
"ENSG00000131370.16",528
"ENSG00000206561.14",529
"ENSG00000287042.3",530
"ENSG00000131386.20",531
"ENSG00000228956.9",532
"ENSG00000183960.9",533
"ENSG00000287069.1",534
"ENSG00000231304.2",535
"ENSG00000151789.13",536
"ENSG00000228791.8",537
"ENSG00000077092.20",538
"ENSG00000179796.13",539
"ENSG00000163491.17",540
