"gene_id","avg_rank"
"ENSG00000196159",1284.8
"ENSG00000120279",1286.6
"ENSG00000117090",1288.2
"ENSG00000158874",1288.6
"ENSG00000251388",1288.8
"ENSG00000143226",1289
"ENSG00000198929",1289.4
"ENSG00000287092",1289.6
"ENSG00000164136",1290.8
"ENSG00000164674",1291.4
"ENSG00000188404",1293.8
"ENSG00000026652",1296.2
"ENSG00000094963",1297
"ENSG00000112530",1297.4
"ENSG00000112541",1298.8
"ENSG00000007933",1299.4
"ENSG00000235750",1300
"ENSG00000152092",1301.8
"ENSG00000227373",1303
"ENSG00000234828",1303.6
"ENSG00000236021",1303.8
"ENSG00000198286",1304.4
"ENSG00000116260",1304.8
"ENSG00000146555",1306
"ENSG00000143340",1306.8
"ENSG00000164116",1308
"ENSG00000143333",1308.2
"ENSG00000135862",1308.8
"ENSG00000106415",1309
"ENSG00000116701",1310.2
"ENSG00000168843",1310.8
"ENSG00000283117",1312
"ENSG00000230426",1312.8
"ENSG00000171509",1313.2
"ENSG00000073756",1314
"ENSG00000287226",1314.2
"ENSG00000229618",1314.4
"ENSG00000134365",1315
"ENSG00000248429",1315.2
"ENSG00000127074",1316.2
"ENSG00000162687",1316.2
"ENSG00000109472",1316.6
"ENSG00000109586",1317.4
"ENSG00000231718",1320.6
"ENSG00000048052",1322.2
"ENSG00000159388",1322.4
"ENSG00000174473",1322.8
"ENSG00000183742",1324.8
"ENSG00000105855",1326.2
"ENSG00000276600",1326.6
"ENSG00000164120",1326.8
"ENSG00000248174",1327.2
"ENSG00000197721",1327.2
"ENSG00000263961",1327.4
"ENSG00000174059",1327.8
"ENSG00000250131",1328.4
"ENSG00000154553",1329.8
"ENSG00000070882",1330.8
"ENSG00000228255",1334.4
"ENSG00000146592",1335.2
"ENSG00000106066",1336.8
"ENSG00000143507",1337.2
"ENSG00000238042",1337.8
"ENSG00000154309",1340.2
"ENSG00000164619",1341.2
"ENSG00000039139",1343
"ENSG00000164532",1344
"ENSG00000183814",1344.8
"ENSG00000143816",1346.2
"ENSG00000136250",1347
"ENSG00000182901",1348.4
"ENSG00000286134",1351.6
